OTU	NTC	ad1-018	ad1-021	ad1-022	ad1-028	ad1-030	ad1-031	ad1-038	ad1-040	ad1-041	ad2-001	ad2-003	ad2-005	ad2-006	ad2-007	ad2-008	ad2-009	ad2-010	ad2-011	ad2-012	ad2-013	ad2-014	ad2-015	ad2-016	ad2-018	ad2-019	ad2-021	ad2-022	ad2-023	ad2-025	ad2-029	ad2-030	ad2-031	ad2-032	ad2-034	ad2-035	ad2-036	ad2-038	ad2-039	ad2-040	ad2-043	ad2-045	ad2-047	ad3-001	ad3-003	ad3-004	ad3-008	ad3-015	ad3-018	ad3-029	ad3-033
OTU_1	9	13338	14255	7643	2054	908	19346	6641	18386	7720	21675	1877	13541	4085	2851	16804	14363	8786	2725	15747	12672	7909	7558	257	3934	1959	11414	10499	12888	5550	872	8231	5891	20879	4970	9456	14971	1341	9581	6818	4352	9393	17985	1463	3779	15681	11321	15524	10641	10702	6090
OTU_2	9	14420	10438	7618	1545	542	10909	6250	11519	7421	7944	1356	10223	2313	2407	9829	7693	8195	1663	8286	9553	8988	4621	131	1997	801	7347	7053	7721	4470	423	10203	12937	8474	11584	6747	11783	548	14147	6107	3516	9101	8238	701	2366	10210	11032	10895	9353	4721	8243
OTU_3	4	14114	10071	6697	1555	472	11119	6826	11596	7705	8815	1435	10468	2287	2287	9916	7984	7994	1634	8128	8242	7751	4952	158	2065	956	6523	7196	7426	4197	411	8685	11408	8012	10592	7803	12062	612	13256	5695	3888	8591	8635	725	2320	11142	10720	12002	8414	5459	9410
OTU_4	3	9650	6989	5023	1100	396	7670	4822	8033	5300	5583	891	6813	1593	1465	7112	5466	5477	1073	5617	6203	5592	3294	115	1325	633	5335	4933	5444	3040	336	6432	8261	5472	7395	4919	8048	407	8905	3800	2391	5933	5673	480	1598	7702	7202	7893	5851	2220	3664
OTU_5	0	8	3	1958	7435	456	0	1	2	2911	2893	6884	331	4572	6607	488	6	1133	2274	661	12	186	3562	6451	4191	4747	35	430	46	3124	6099	2	194	2456	3	3949	2810	7858	467	6242	1828	4793	2116	1185	7701	1419	988	7	282	112	5
OTU_6	0	1	0	943	1795	1026	1	0	7	351	893	1889	195	10943	3048	63	2	624	711	17	3	176	648	2488	1684	1667	144	741	15	1411	1607	0	62	484	1	374	622	6702	85	1164	3499	827	83	5692	361	619	247	2	3576	6	0
OTU_7	0	0	5	0	0	6	0	31231	0	0	1	838	2	0	0	0	0	0	21	1	2131	0	8520	0	0	0	4	0	0	0	0	1	413	1	0	2	0	109	1	5	0	1	0	0	418	1	0	3079	1	3438	1
OTU_8	0	32	0	611	1439	24	357	0	0	38	1486	284	53	3732	1839	23	1	98	217	2	4	122	664	732	1127	6818	16	275	23	628	3125	0	17	254	0	632	433	5751	112	716	4123	1316	146	3788	259	326	437	1	1017	1	0
OTU_9	0	4	0	0	11	225	1	0	0	195	698	458	51	455	3081	5	0	68	342	12	1	10	681	401	2068	1298	1	38	10	460	2306	0	18	72	0	844	78	2020	33	638	1009	1035	9	9875	532	111	88	0	0	0	0
OTU_10	1	1130	785	577	120	57	872	494	835	582	981	112	686	183	170	767	592	609	98	641	649	636	356	11	141	52	483	472	605	308	30	653	808	601	749	519	935	41	1015	395	274	660	674	53	164	840	817	930	672	593	792
OTU_11	0	0	0	43	0	13	0	0	0	701	585	172	56	1	1234	540	0	275	4	22	4	0	0	2331	132	6494	0	4	11	101	423	0	4	51	0	1329	139	3281	196	2662	3286	350	33	0	316	71	360	0	0	0	0
OTU_12	0	1	0	554	863	73	0	1	0	486	429	1125	38	250	959	56	5	611	282	107	0	13	271	1887	1143	1358	5	60	93	136	1898	1	17	130	0	548	208	2266	100	1398	2794	1055	106	0	749	300	322	0	3	0	0
OTU_13	0	0	0	481	878	184	0	0	0	474	392	331	59	3051	778	49	0	245	235	0	2	29	186	1033	729	2070	2	242	29	492	1421	1	3	274	1	265	231	3075	76	521	491	717	49	1628	336	194	239	0	77	0	1
OTU_14	0	0	0	517	212	1901	1	0	0	61	27	440	5	1984	702	4	2	85	152	26	0	9	399	1633	488	101	4	132	9	1968	3731	0	11	248	1	168	2	1638	24	127	759	545	37	1134	368	183	105	0	250	0	0
